0.30772,0.13905,0.013548
-0.57727,0.1544,0.0054741
1.3092,0.079109,-0.10994
-0.12118,0.19275,-0.1706
1.4909,0.17022,-0.012619
-0.037506,0.28335,-0.25844
0.55328,0.25634,-0.17601
0.45402,0.27924,-0.27527
-1.4852,0.27924,-0.27527
-1.4852,0.27924,-0.27527
-0.763,0.24451,-0.17636
1.1156,0.28894,0.073167
-0.39956,0.49827,0.13505
0.76025,0.54744,0.27721
0.1311,0.70253,0.43232
0.48701,0.78354,0.60044
-0.34057,0.89143,0.78837
-0.15492,0.90706,0.90801
1.9327,0.94272,1.109
1.2383,1.1714,1.2759
0.63201,1.3051,1.3005
0.87319,1.3775,1.5134
2.4208,1.4645,1.6999
1.75,1.6856,1.7971
2.2102,1.8162,1.7806
2.2806,1.9867,1.9487
2.7539,2.1475,2.1212
2.6442,2.3385,2.3091
1.2841,2.4962,2.4064
2.8544,2.5114,2.5406
3.5808,2.6724,2.6394
3.4002,2.8892,2.7906
0.9986,3.0702,2.9877
2.8592,3.0011,3.0883
2.8367,3.1113,3.1069
3.3254,3.2055,3.0593
2.7861,3.3466,3.2138
3.2747,3.4186,3.2764
4.7068,3.531,3.3627
4.33,3.7768,3.6208
3.9997,3.958,3.7754
3.114,4.0883,3.8867
4.0851,4.1289,4.1441
4.3992,4.2517,4.2755
3.8335,4.3872,4.2996
4.1497,4.4612,4.4314
4.8134,4.5532,4.466
5.806,4.6995,4.5027
2.6017,4.931,4.6467
3.789,4.832,4.7078
5.7032,4.855,4.764
5.4565,5.0646,4.9698
4.7887,5.2228,5.0158
5.5641,5.3099,5.2176
4.4288,5.4538,5.2469
4.5664,5.483,5.421
5.758,5.5175,5.4922
6.8072,5.6605,5.5388
6.3923,5.898,5.7653
5.502,6.0699,5.9268
6.7379,6.1363,5.9972
5.7957,6.3105,6.0032
5.4867,6.3825,6.0943
5.9907,6.4268,6.3631
5.9621,6.507,6.4749
6.4355,6.5779,6.6105
7.2652,6.6893,6.7949
6.0219,6.8653,6.912
7.3466,6.9074,7.0524
8.1608,7.0722,7.2129
7.4271,7.2948,7.3016
7.8232,7.4187,7.2349
7.3015,7.5767,7.3454
9.0055,7.6633,7.3167
8.2309,7.9113,7.4577
5.9716,8.0566,7.4894
7.7336,7.9822,7.7044
6.25,8.0747,7.7626
8.7518,8.0209,7.8915
8.3729,8.2108,8.0427
8.736,8.3466,8.201
9.2546,8.5117,8.5231
10.205,8.7049,8.7393
8.6444,8.9675,8.9121
9.0433,9.0601,9.1583
9.7306,9.1725,9.2155
10.106,9.34,9.2879
8.4509,9.528,9.3841
9.014,9.5405,9.4741
9.6816,9.6092,9.6482
7.5258,9.7241,9.6031
10.776,9.6353,9.8071
9.0305,9.8577,9.8891
10.961,9.8941,9.9961
9.3794,10.107,10.037
10.609,10.149,10.078
10.943,10.311,10.257
10.188,10.483,10.335
10.826,10.565,10.356
10.292,10.7,10.399
11.011,10.777,10.547
9.6313,10.907,10.549
10.065,10.9,10.677
11.996,10.935,10.82
10.375,11.147,10.894
11.251,11.189,11.053
9.777,11.304,11.105
10.977,11.276,11.313
10.766,11.36,11.411
11.397,11.42,11.616
12.514,11.529,11.697
12.654,11.735,11.836
13.059,11.94,12.08
12.203,12.152,12.07
12.684,12.271,12.266
11.393,12.416,12.276
11.852,12.422,12.229
13.475,12.481,12.412
13.251,12.685,12.5
12.936,12.846,12.569
11.638,12.964,12.682
13.217,12.955,12.945
13.425,13.091,13.099
12.764,13.226,13.103
13.348,13.286,13.104
15.269,13.396,13.122
12.959,13.687,13.342
12.032,13.722,13.38
11.207,13.667,13.44
12.918,13.542,13.554
13.103,13.591,13.667
12.84,13.654,13.82
15.606,13.684,13.905
14.813,13.973,14.003
14.651,14.159,14.091
14.456,14.308,14.104
11.666,14.421,14.069
15.731,14.273,14.321
14.459,14.518,14.436
13.762,14.618,14.516
13.051,14.649,14.768
14.96,14.604,14.885
16.794,14.746,15.047
15.472,15.046,15.166
16.095,15.197,15.387
15.361,15.388,15.515
16.491,15.49,15.628
14.488,15.691,15.766
16.755,15.684,15.947
16.411,15.885,15.971
15.927,16.039,16.081
16.306,16.129,16.14
17.739,16.257,16.409
16.607,16.503,16.58
17.338,16.611,16.594
15.73,16.787,16.817
17.83,16.785,16.841
18.527,16.988,17.006
16.563,17.233,17.052
16.499,17.279,17.344
16.662,17.306,17.466
18.203,17.348,17.625
17.033,17.527,17.668
17.774,17.584,17.855
16.652,17.696,17.829
18.796,17.697,17.934
17.371,17.899,18.007
18.845,17.949,18.113
18.816,18.131,18.179
18.159,18.296,18.298
18.765,18.387,18.514
18.22,18.515,18.49
18.262,18.584,18.571
19.601,18.65,18.64
18.715,18.835,18.68
17.919,18.924,18.838
20.122,18.92,18.811
18.055,19.132,18.932
19.365,19.126,19.011
18.356,19.243,19.063
18.879,19.255,19.139
19.617,19.318,19.284
20.211,19.44,19.332
19.185,19.611,19.47
19.804,19.665,19.522
19.35,19.77,19.535
19.812,19.833,19.799
18.918,19.928,19.916
19.999,19.932,20.109
21.365,20.029,20.12
19.703,20.26,20.403
19.319,20.297,20.408
21.698,20.293,20.381
21.509,20.524,20.534
21.314,20.712,20.656
19.562,20.865,20.785
22.217,20.836,20.917
20.585,21.064,21.085
20.296,21.118,21.308
20.862,21.135,21.45
21.902,21.205,21.604
22.145,21.359,21.599
21.899,21.527,21.719
21.65,21.657,21.871
23.493,21.75,21.985
21.495,22.004,22.033
22.207,22.047,22.115
21.566,22.151,22.167
22.612,22.186,22.26
20.889,22.325,22.505
23.234,22.283,22.682
21.825,22.462,22.747
22.906,22.5,22.992
22.179,22.627,23.065
21.98,22.668,23.016
21.512,22.692,23.092
22.365,22.669,23.18
23.392,22.727,23.214
23.644,22.876,23.232
24.62,23.039,23.325
23.972,23.279,23.433
21.828,23.438,23.625
22.703,23.366,23.564
23.532,23.391,23.65
21.755,23.499,23.869
23.712,23.422,23.974
23.405,23.53,23.902
24.19,23.603,23.912
24.451,23.745,23.984
24.793,23.898,24.04
24.039,24.074,24.207
24.085,24.157,24.281
25.444,24.231,24.231
25.802,24.43,24.266
24.171,24.653,24.491
24.697,24.692,24.567
23.777,24.775,24.584
24.569,24.759,24.536
25.235,24.825,24.595
24.142,24.948,24.639
24.789,24.954,24.68
24.584,25.014,24.555
24.242,25.064,24.765
24.411,25.071,24.863
26.605,25.098,25.032
24.218,25.323,25.057
24.764,25.304,25.181
24.07,25.34,25.329
25.314,25.303,25.394
25.89,25.392,25.558
25.277,25.528,25.718
26.085,25.588,25.797
25.143,25.712,25.748
26.743,25.735,25.682
25.72,25.913,25.746
26.522,25.98,25.871
27.492,26.101,25.668
26.092,26.314,25.726
26.909,26.375,25.793
26.013,26.504,25.803
25.521,26.535,25.781
25.047,26.518,25.82
25.524,26.458,25.846
26.894,26.451,25.925
26.699,26.574,25.978
25.064,26.661,25.93
25.669,26.583,25.83
24.805,26.577,25.893
26.237,26.491,25.98
27.017,26.556,26.207
25.728,26.685,26.353
24.179,26.68,26.519
27.135,26.522,26.552
29.255,26.659,26.572
27.051,26.984,26.603
27.014,27.076,26.764
27.191,27.156,26.953
27.91,27.243,27.107
28.876,27.384,27.13
28.503,27.607,27.228
27.124,27.771,27.287
27.496,27.795,27.482
27.861,27.85,27.655
27.062,27.933,27.777
28.739,27.925,27.77
28.038,28.084,27.902
29.319,28.16,28.016
28.022,28.353,28.184
29.613,28.399,28.232
26.623,28.587,28.212
29.826,28.479,28.302
27.023,28.681,28.294
27.546,28.604,28.426
28.626,28.585,28.585
27.359,28.663,28.576
29.048,28.617,28.658
29.191,28.736,28.734
29.824,28.852,28.719
28.673,29.032,29.012
29.445,29.075,29.095
29.474,29.192,29.267
